title,description,category,cloud_provider,severity,is_misconfiguration,public_exposure,privilege_escalation,data_exposure,dos,unencrypted,iam,s3_bucket,ssrf_rce
,AWS S3 bucket with misconfigured bucket policy allowing data tampering.,Data Exposure,AWS,25,1,0,0,1,0,0,1,1,0
,Azure SQL Database with misconfigured firewall rule allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured egress rule allowing data exfiltration.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured service account allowing privilege escalation.,Privilege Escalation,IBM Cloud,50,1,0,1,1,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured audit logging exposing sensitive queries.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS API Gateway with misconfigured IAM policy allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Cosmos DB with misconfigured role definition allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,1,0,0
,GCP Cloud Storage with misconfigured IAM binding allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,1,1,0
,Oracle Cloud Database with misconfigured backup retention exposing old data.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Functions with misconfigured action binding allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket encryption exposing data.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS CloudTrail with misconfigured log validation allowing log tampering.,Monitoring,AWS,0,1,0,0,0,0,0,0,1,0
,Azure Virtual Machine with misconfigured network security group allowing RDP brute force.,Authentication,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured memory limit allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured backend policy allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured VPN gateway allowing weak encryption.,Encryption,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured user data allowing code injection.,Code Injection,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS EKS with misconfigured node group allowing privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,0,0,0
,Azure API Management with misconfigured logging exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud SQL with misconfigured network authorization allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured MFA policy allowing weak authentication.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud OSS with misconfigured lifecycle rule allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS SNS with misconfigured topic policy allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Event Hub with misconfigured consumer group allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP BigQuery with misconfigured dataset access allowing unauthorized queries.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Object Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,1,0
,IBM Cloud Kubernetes with misconfigured liveness probe allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,Alibaba Cloud,25,1,0,1,0,0,0,1,0,0
,AWS CloudFormation with misconfigured parameter exposing sensitive data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Machine Learning with misconfigured pipeline allowing code injection.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured notification channel exposing alerts.,Data Exposure,GCP,55,1,1,0,1,0,0,0,0,0
,Oracle Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud VPC with misconfigured network ACL allowing traffic interception.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured encryption key allowing data exposure.,Encryption,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS Redshift with misconfigured IAM role allowing privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,1,0,0
,Azure Data Lake with misconfigured access control allowing data exposure.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Composer with misconfigured Airflow DAG allowing code execution.,Code Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured route table allowing traffic interception.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured pod security policy allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,1,0,0
,Alibaba Cloud OSS with misconfigured bucket tagging allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS S3 bucket with misconfigured access logging exposing request metadata.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Stream Analytics with misconfigured output allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Armor with misconfigured XSS protection allowing attacks.,Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured snapshot exposing data.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Databases with misconfigured encryption exposing data.,Encryption,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured security group allowing SSH brute force.,Authentication,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ElastiCache with misconfigured node access allowing unauthorized connections.,Access Control,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Databricks with misconfigured cluster allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud VPN with misconfigured encryption allowing weak ciphers.,Encryption,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured SSH key allowing unauthorized access.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured environment exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS CodeBuild with misconfigured build timeout allowing resource exhaustion.,Denial of Service,AWS,10,1,0,0,0,1,0,0,0,0
,Azure Cognitive Services with misconfigured access key allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Spanner with misconfigured database role allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,1,0,0
,Oracle Cloud API Gateway with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with misconfigured egress rules allowing data exfiltration.,Data Exfiltration,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured disk snapshot allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured event notification allowing unauthorized actions.,Access Control,AWS,0,1,0,0,0,0,0,0,1,0
,Azure Virtual Network with misconfigured subnet allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud DNS with misconfigured record allowing domain hijacking.,Domain Hijacking,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured user role allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured endpoint allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured replica allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured subscription endpoint allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Virtual Machine with misconfigured diagnostic logs exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud SQL with misconfigured database flags allowing code execution.,Code Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured NFS options allowing data tampering.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured node taint allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket notification allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS EKS with misconfigured audit logging exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure API Management with misconfigured rate limiting allowing DoS attacks.,Denial of Service,Azure,10,1,0,0,0,1,0,0,0,0
,GCP Cloud Run with misconfigured CPU allocation allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured access log exposing sensitive data.,Data Exposure,Oracle Cloud,55,1,1,0,1,0,0,0,1,0
,IBM Cloud VPC with misconfigured floating IP allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured monitoring exposing database metrics.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured message attributes exposing sensitive data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Network with misconfigured network security group allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured binary logging allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured snapshot policy allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,0,0
,IBM Cloud Databases with misconfigured audit logging exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud ECS with misconfigured auto-scaling policy allowing resource exhaustion.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,1,0,0
,AWS Lambda with misconfigured environment variables exposing secrets.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Kubernetes with misconfigured role binding allowing privilege escalation.,Privilege Escalation,Azure,50,1,0,1,1,0,0,1,0,0
,GCP Cloud Run with misconfigured IAM policy allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Load Balancer with misconfigured health check allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud Functions with misconfigured logging destination exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS API Gateway with misconfigured logging exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure App Service with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket ACL allowing data tampering.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured audit policy allowing undetected access.,Monitoring,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,AWS ECS with misconfigured IAM role allowing privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,1,0,0
,Azure Function with misconfigured authentication allowing unauthorized access.,Authentication,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured timeout allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Compute with misconfigured VNIC allowing traffic interception.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,1,1,0
,Alibaba Cloud SLB with misconfigured SSL cipher allowing weak encryption.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS S3 bucket with misconfigured replication exposing data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure SQL Database with misconfigured auditing exposing sensitive queries.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Functions with misconfigured IAM policy allowing unauthorized invocation.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud VCN with misconfigured NAT rule allowing data exfiltration.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured network policy allowing lateral movement.,Network Security,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud RDS with misconfigured parameter exposing sensitive data.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS API Gateway with misconfigured cache allowing data leakage.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Cosmos DB with misconfigured indexing policy allowing unauthorized queries.,Access Control,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Cloud Storage with misconfigured lifecycle rule exposing archived data.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured TDE exposing data.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured concurrency allowing DoS attacks.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured access policy allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,1,0
,AWS CloudTrail with misconfigured S3 bucket access allowing log exposure.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure Virtual Machine with misconfigured public IP allowing unauthorized access.,Access Control,Azure,30,1,1,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured event trigger allowing unauthorized invocation.,Access Control,GCP,0,1,0,0,0,0,0,0,1,0
,Oracle Cloud Load Balancer with misconfigured listener allowing protocol downgrade.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud VPC with misconfigured subnet routing allowing traffic interception.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured metadata endpoint exposing sensitive data.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS EKS with misconfigured service account token allowing privilege escalation.,Privilege Escalation,AWS,50,1,0,1,1,0,0,0,0,0
,Azure API Management with misconfigured backend allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured backup policy exposing data.,Data Exposure,GCP,55,1,1,0,1,0,0,1,1,0
,Oracle Cloud Identity with misconfigured group policy allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud Functions with misconfigured rate limiting allowing DoS attacks.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket versioning allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS SNS with misconfigured delivery policy allowing message loss.,Data Loss,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Event Hub with misconfigured SAS token allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP BigQuery with misconfigured view access allowing unauthorized queries.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Object Storage with misconfigured CORS policy allowing data exfiltration.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,1,1,0
,IBM Cloud Kubernetes with misconfigured pod affinity allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud ECS with misconfigured instance type allowing resource exhaustion.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
,AWS CloudFormation with misconfigured stack set allowing unauthorized deployment.,Access Control,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Machine Learning with misconfigured endpoint allowing inference attacks.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured dashboard exposing sensitive metrics.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Functions with misconfigured IAM policy allowing unauthorized invocation.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured security group allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured snapshot policy allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS Redshift with misconfigured cluster parameter group exposing data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Data Lake with misconfigured file system access allowing data tampering.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Composer with misconfigured environment variable allowing code injection.,Code Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured security group allowing lateral movement.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured resource quota allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket encryption policy exposing data.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS S3 bucket with misconfigured lifecycle transition exposing archived data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure Stream Analytics with misconfigured job output allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Armor with misconfigured rate limiting allowing DoS attacks.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud File Storage with misconfigured export policy allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud Databases with misconfigured connection pooling exposing credentials.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured firewall rule allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ElastiCache with misconfigured Redis AUTH allowing unauthorized access.,Authentication,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Databricks with misconfigured notebook allowing code injection.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud VPN with misconfigured routing allowing traffic interception.,Network Security,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured boot volume allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Functions with misconfigured trigger policy allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud OSS with misconfigured bucket logging exposing request metadata.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS CodeBuild with misconfigured source repository allowing code injection.,Code Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cognitive Services with misconfigured API key exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Spanner with misconfigured backup policy exposing data.,Data Exposure,GCP,55,1,1,0,1,0,0,1,1,0
,Oracle Cloud API Gateway with misconfigured authentication allowing unauthorized access.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with misconfigured protocol allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured monitoring exposing instance metrics.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured notification policy allowing unauthorized actions.,Access Control,AWS,30,1,1,0,0,0,0,1,1,0
,Azure Virtual Network with misconfigured DNS settings allowing domain hijacking.,Domain Hijacking,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud DNS with misconfigured zone transfer allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Identity with misconfigured compartment policy allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured flow log policy exposing network traffic.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,1,1,0
,Alibaba Cloud RDS with misconfigured user permissions allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS SNS with misconfigured topic subscription allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Virtual Machine with misconfigured extension allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured maintenance window allowing DoS attacks.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud File Storage with misconfigured access control allowing data tampering.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS EKS with misconfigured logging policy exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,1,1,0
,Azure API Management with misconfigured subscription policy allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Cloud Run with misconfigured service account allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured routing policy allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured public gateway allowing unauthorized access.,Access Control,IBM Cloud,30,1,1,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured maintenance policy allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,1,0,0
,AWS SNS with misconfigured message filtering exposing sensitive data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Network with misconfigured service endpoint allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured user authentication allowing unauthorized access.,Authentication,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured mount target allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Databases with misconfigured backup policy exposing data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,1,1,0
,Alibaba Cloud ECS with misconfigured snapshot policy allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS Lambda with misconfigured function policy allowing unauthorized invocation.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Kubernetes with misconfigured network policy allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Cloud Run with misconfigured environment variable exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured backend set allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS API Gateway with misconfigured throttling allowing DoS attacks.,Denial of Service,AWS,10,1,0,0,0,1,0,0,0,0
,Azure App Service with misconfigured authentication allowing session hijacking.,Session Management,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket policy allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,1,1,0
,Oracle Cloud Database with misconfigured encryption key exposing data.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ECS with misconfigured network mode allowing container-to-host communication.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Function with misconfigured HTTP trigger allowing SQL injection.,Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured memory limit allowing DoS attacks.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Compute with misconfigured security list allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured CORS policy allowing data exfiltration.,Data Exfiltration,IBM Cloud,0,1,0,0,0,0,0,1,1,0
,Alibaba Cloud SLB with misconfigured backend server exposing internal services.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured object lock allowing data tampering.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure SQL Database with misconfigured TDE exposing data.,Encryption,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured environment variable exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud VCN with misconfigured service gateway allowing data exfiltration.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured RBAC policy allowing privilege escalation.,Privilege Escalation,IBM Cloud,50,1,0,1,1,0,0,1,0,0
,Alibaba Cloud RDS with misconfigured binary logging exposing data.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS API Gateway with misconfigured authorizer allowing unauthorized access.,Authentication,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cosmos DB with misconfigured partition key exposing data.,Data Exposure,Azure,55,1,1,0,1,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket notification allowing data exfiltration.,Data Exfiltration,GCP,0,1,0,0,0,0,0,0,1,0
,Oracle Cloud Database with misconfigured listener exposing sensitive data.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Functions with misconfigured action policy allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud OSS with misconfigured bucket tag allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS CloudTrail with misconfigured event selector exposing sensitive logs.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Machine with misconfigured NSG rule allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured timeout allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured SSL policy allowing weak ciphers.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured VPN policy allowing weak encryption.,Encryption,IBM Cloud,0,1,0,0,0,0,0,1,0,0
